name,place,location,latitude,longitude,year
"1945: 12 Städte, 12 Schicksale (2015) {Pilsen - Die Flucht (#1.10)}","Plzen, Czech Republic","Plzeň, okres Plzeň-město, Plzeňský kraj, Jihozápad, Česko",49.7477415,13.3775249,2015
"1945: 12 Städte, 12 Schicksale (2015) {Pilsen - Die Flucht (#1.10)}","Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2015
"1945: 12 Städte, 12 Schicksale (2015) {Pilsen - Die Flucht (#1.10)}","Susice, Czech Republic","Sušice, okres Klatovy, Plzeňský kraj, Jihozápad, 34201, Česko",49.2313907,13.5204076,2015
"1945: 12 Städte, 12 Schicksale (2015) {Pilsen - Die Flucht (#1.10)}","Zatec, Czech Republic","Žatec, okres Louny, Ústecký kraj, Severozápad, 43801, Česko",50.3274423,13.545952,2015
"1945: 12 Städte, 12 Schicksale (2015) {Pilsen - Die Flucht (#1.10)}","Lidice, Czech Republic","Lidice, okres Kladno, Střední Čechy, 27354, Česko",50.1435834,14.1905224,2015
"1945: 12 Städte, 12 Schicksale (2015) {Pilsen - Die Flucht (#1.10)}","Postoloprty, Czech Republic","Postoloprty, okres Louny, Ústecký kraj, Severozápad, 43942, Česko",50.3600554,13.7028467,2015
"1945: 12 Städte, 12 Schicksale (2015) {Plauen - Die Kindersoldaten (#1.9)}","Karlovy Vary, Czech Republic","Karlovy Vary, okres Karlovy Vary, Karlovarský kraj, Severozápad, Česko",50.2304694,12.8710769,2015
A névtelen vár (1982) {A történet vége (#1.6)},"Cervená Lhotá, Czech Republic","Červená Lhota, okres Třebíč, Kraj Vysočina, Jihovýchod, Česko",49.2844622,15.8061939,1982
A névtelen vár (1982) {Az adomák hazája (#1.2)},"Cervená Lhotá, Czech Republic","Červená Lhota, okres Třebíč, Kraj Vysočina, Jihovýchod, Česko",49.2844622,15.8061939,1982
A névtelen vár (1982) {Katalin-vagy-Themire (#1.5)},"Cervená Lhotá, Czech Republic","Červená Lhota, okres Třebíč, Kraj Vysočina, Jihovýchod, Česko",49.2844622,15.8061939,1982
Andre Rieu: Welcome to My World (2013) {European Dream (#2.9)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2013
"Antiikkia, antiikkia (1997) {Treasure Hunting: Ljubljana (#7.6)}","Ljubljana, Slovenia","Ljubljana, Upravna Enota Ljubljana, Slovenija",46.0499803,14.5068602,1997
"Antiikkia, antiikkia (1997) {Treasure Hunting: Prague}","Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1997
